0,1
0X07FF00,0XD3
0X07FF01,0X46
0X07FF02,0XCF
0X07FF03,0X81
0X07FF04,0X22
0X07FF05,0X21
0X07FF06,0X48
0X07FF07,0X8D
0X07FF08,0X62
0X07FF09,0XC0
0X07FF0A,0X8F
0X07FF0B,0X2A
0X07FF0C,0XD0
0X07FF0D,0X6A
0X07FF0E,0X25
0X07FF0F,0X31
0X07FF10,0X43
0X07FF11,0X93
0X07FF12,0X8F
0X07FF13,0X81
0X07FF14,0XC1
0X07FF15,0XD1
0X07FF16,0X2A
0X07FF17,0XB1
0X07FF18,0XB6
0X07FF19,0X2A
0X07FF1A,0XA4
0X07FF1B,0X8A
0X07FF1C,0X05
0X07FF1D,0X59
0X07FF1E,0X35
0X07FF1F,0X17
0X07FF20,0X3B
0X07FF21,0XAB
0X07FF22,0X8E
0X07FF23,0X96
0X07FF24,0XE0
0X07FF25,0X48
0X07FF26,0X3E
0X07FF27,0XD4
0X07FF28,0XC4
0X07FF29,0X2F
0X07FF2A,0X6B
0X07FF2B,0X3B
0X07FF2C,0XFD
0X07FF2D,0X09
0X07FF2E,0X0F
0X07FF2F,0X56
0X07FF30,0XBD
0X07FF31,0X7A
0X07FF32,0X36
0X07FF33,0XF8
0X07FF34,0XC7
0X07FF35,0XF3
0X07FF36,0X00
0X07FF37,0X6C
0X07FF38,0X9A
0X07FF39,0XE2
0X07FF3A,0XA4
0X07FF3B,0XE5
0X07FF3C,0X47
0X07FF3D,0X2A
0X07FF3E,0XF1
0X07FF3F,0XC9
0X07FF40,0XDF
0X07FF41,0XE3
0X07FF42,0XFD
0X07FF43,0XCD
0X07FF44,0X7A
0X07FF45,0X76
0X07FF46,0XB0
0X07FF47,0X4F
0X07FF48,0X33
0X07FF49,0XF6
0X07FF4A,0X3B
0X07FF4B,0X75
0X07FF4C,0X1F
0X07FF4D,0X2A
0X07FF4E,0X25
0X07FF4F,0X3C
0X07FF50,0X68
0X07FF51,0XEA
0X07FF52,0X82
0X07FF53,0X61
0X07FF54,0X49
0X07FF55,0X35
0X07FF56,0XFD
0X07FF57,0X5D
0X07FF58,0X73
0X07FF59,0XDC
0X07FF5A,0XB9
0X07FF5B,0XAF
0X07FF5C,0XDB
0X07FF5D,0XE2
0X07FF5E,0XF3
0X07FF5F,0XBE
0X07FF60,0X69
0X07FF61,0X33
0X07FF62,0X5A
0X07FF63,0X2A
0X07FF64,0X6F
0X07FF65,0X0E
0X07FF66,0X41
0X07FF67,0X95
0X07FF68,0X2C
0X07FF69,0X13
0X07FF6A,0X9F
0X07FF6B,0XC7
0X07FF6C,0X66
0X07FF6D,0XAC
0X07FF6E,0X49
0X07FF6F,0X88
0X07FF70,0X77
0X07FF71,0X68
0X07FF72,0X3A
0X07FF73,0X2A
0X07FF74,0XC4
0X07FF75,0X76
0X07FF76,0XDC
0X07FF77,0X03
0X07FF78,0XAC
0X07FF79,0XEC
0X07FF7A,0X54
0X07FF7B,0XDB
0X07FF7C,0XC3
0X07FF7D,0X52
0X07FF7E,0XFA
0X07FF7F,0X93
0X07FF80,0X7A
0X07FF81,0X01
0X07FF82,0X2A
0X07FF83,0XF5
0X07FF84,0X61
0X07FF85,0X50
0X07FF86,0X99
0X07FF87,0X96
0X07FF88,0X1A
0X07FF89,0X3B
0X07FF8A,0XCC
0X07FF8B,0X75
0X07FF8C,0X54
0X07FF8D,0X4E
0X07FF8E,0X83
0X07FF8F,0X0A
0X07FF90,0XFA
0X07FF91,0X04
0X07FF92,0X76
0X07FF93,0XD9
0X07FF94,0XD3
0X07FF95,0XFC
0X07FF96,0X38
0X07FF97,0X02
0X07FF98,0XC1
0X07FF99,0X32
0X07FF9A,0X87
0X07FF9B,0XB8
0X07FF9C,0X93
0X07FF9D,0XC3
0X07FF9E,0XE1
0X07FF9F,0XFA
0X07FFA0,0X9D
0X07FFA1,0X47
0X07FFA2,0XA3
0X07FFA3,0X15
0X07FFA4,0XE6
0X07FFA5,0X4E
0X07FFA6,0XE7
0X07FFA7,0XA7
0X07FFA8,0XA4
0X07FFA9,0X2A
0X07FFAA,0X39
0X07FFAB,0XA2
0X07FFAC,0X2B
0X07FFAD,0X92
0X07FFAE,0X5C
0X07FFAF,0X50
0X07FFB0,0X5D
0X07FFB1,0X7A
0X07FFB2,0X67
0X07FFB3,0X84
0X07FFB4,0X61
0X07FFB5,0XD3
0X07FFB6,0XD9
0X07FFB7,0X24
0X07FFB8,0X47
0X07FFB9,0X7E
0X07FFBA,0X33
0X07FFBB,0X13
0X07FFBC,0XCC
0X07FFBD,0X3D
0X07FFBE,0XF0
0X07FFBF,0XED
0X07FFC0,0X38
0X07FFC1,0X93
0X07FFC2,0XC1
0X07FFC3,0X62
0X07FFC4,0X3D
0X07FFC5,0X5E
0X07FFC6,0XB8
0X07FFC7,0XB4
0X07FFC8,0X2A
0X07FFC9,0XD0
0X07FFCA,0X3E
0X07FFCB,0XD1
0X07FFCC,0X76
0X07FFCD,0XB5
0X07FFCE,0X10
0X07FFCF,0XC4
0X07FFD0,0XCE
0X07FFD1,0X18
0X07FFD2,0X2B
0X07FFD3,0X2A
0X07FFD4,0X7A
0X07FFD5,0X34
0X07FFD6,0X44
0X07FFD7,0X42
0X07FFD8,0X2A
0X07FFD9,0X59
0X07FFDA,0X32
0X07FFDB,0X62
0X07FFDC,0XB3
0X07FFDD,0XCF
0X07FFDE,0X5B
0X07FFDF,0XA5
0X07FFE0,0XFE
0X07FFE1,0XB8
0X07FFE2,0X3A
0X07FFE3,0X5E
0X07FFE4,0X86
0X07FFE5,0XA7
0X07FFE6,0X2E
0X07FFE7,0X77
0X07FFE8,0X57
0X07FFE9,0X3B
0X07FFEA,0X4E
0X07FFEB,0X17
0X07FFEC,0X0D
0X07FFED,0XC7
0X07FFEE,0XB5
0X07FFEF,0X5B
0X07FFF0,0X07
0X07FFF1,0X9A
0X07FFF2,0XB4
0X07FFF3,0X2A
0X07FFF4,0X2A
0X07FFF5,0X81
0X07FFF6,0X4C
0X07FFF7,0X88
0X07FFF8,0X18
0X07FFF9,0X22
0X07FFFA,0XC4
0X07FFFB,0X17
0X07FFFC,0X53
0X07FFFD,0X7B
0X07FFFE,0X24
0X07FFFF,0X0D
