0X07FF00 0XC9
0X07FF01 0X2C
0X07FF02 0XCE
0X07FF03 0X6A
0X07FF04 0XEB
0X07FF05 0XF4
0X07FF06 0X14
0X07FF07 0XB2
0X07FF08 0XF2
0X07FF09 0XB4
0X07FF0A 0X11
0X07FF0B 0XCE
0X07FF0C 0X38
0X07FF0D 0X1D
0X07FF0E 0XEE
0X07FF0F 0X66
0X07FF10 0XC5
0X07FF11 0X5C
0X07FF12 0X44
0X07FF13 0XC6
0X07FF14 0X24
0X07FF15 0XA3
0X07FF16 0XAD
0X07FF17 0X93
0X07FF18 0XF7
0X07FF19 0XC3
0X07FF1A 0X19
0X07FF1B 0XBF
0X07FF1C 0X2F
0X07FF1D 0X8A
0X07FF1E 0X66
0X07FF1F 0X9D
0X07FF20 0XDB
0X07FF21 0XCE
0X07FF22 0X08
0X07FF23 0X6C
0X07FF24 0X1F
0X07FF25 0X8E
0X07FF26 0X49
0X07FF27 0X57
0X07FF28 0XD9
0X07FF29 0X27
0X07FF2A 0X9E
0X07FF2B 0XEC
0X07FF2C 0X28
0X07FF2D 0X66
0X07FF2E 0X3D
0X07FF2F 0X66
0X07FF30 0X08
0X07FF31 0X88
0X07FF32 0XFF
0X07FF33 0X17
0X07FF34 0X49
0X07FF35 0XFC
0X07FF36 0X09
0X07FF37 0X66
0X07FF38 0XBB
0X07FF39 0X07
0X07FF3A 0X6E
0X07FF3B 0X26
0X07FF3C 0X1C
0X07FF3D 0X67
0X07FF3E 0X27
0X07FF3F 0X99
0X07FF40 0X60
0X07FF41 0X78
0X07FF42 0X8F
0X07FF43 0X8B
0X07FF44 0X2B
0X07FF45 0X64
0X07FF46 0X22
0X07FF47 0X53
0X07FF48 0X8D
0X07FF49 0X1F
0X07FF4A 0X8C
0X07FF4B 0XE7
0X07FF4C 0X5F
0X07FF4D 0X42
0X07FF4E 0X46
0X07FF4F 0XFC
0X07FF50 0XC0
0X07FF51 0X11
0X07FF52 0XD5
0X07FF53 0X18
0X07FF54 0XC3
0X07FF55 0XDB
0X07FF56 0X94
0X07FF57 0X2C
0X07FF58 0XD2
0X07FF59 0X03
0X07FF5A 0XDE
0X07FF5B 0XE0
0X07FF5C 0X6F
0X07FF5D 0XE2
0X07FF5E 0X24
0X07FF5F 0X06
0X07FF60 0X42
0X07FF61 0X3C
0X07FF62 0X66
0X07FF63 0XB8
0X07FF64 0X5B
0X07FF65 0X34
0X07FF66 0X7C
0X07FF67 0X2F
0X07FF68 0X0D
0X07FF69 0X0C
0X07FF6A 0XE3
0X07FF6B 0XF6
0X07FF6C 0XBB
0X07FF6D 0XE8
0X07FF6E 0X6C
0X07FF6F 0X91
0X07FF70 0X3E
0X07FF71 0X56
0X07FF72 0X5F
0X07FF73 0X6F
0X07FF74 0XC5
0X07FF75 0XB5
0X07FF76 0X9E
0X07FF77 0XB0
0X07FF78 0X55
0X07FF79 0XAD
0X07FF7A 0X4A
0X07FF7B 0X9D
0X07FF7C 0XB1
0X07FF7D 0XE1
0X07FF7E 0XDF
0X07FF7F 0XC0
0X07FF80 0XDC
0X07FF81 0XC2
0X07FF82 0XAB
0X07FF83 0XED
0X07FF84 0X48
0X07FF85 0X95
0X07FF86 0X59
0X07FF87 0X32
0X07FF88 0XDB
0X07FF89 0X25
0X07FF8A 0X5D
0X07FF8B 0X50
0X07FF8C 0X22
0X07FF8D 0XE4
0X07FF8E 0XFC
0X07FF8F 0XF0
