0X0CFF00 0XEB
0X0CFF01 0X61
0X0CFF02 0X89
0X0CFF03 0XD8
0X0CFF04 0X61
0X0CFF05 0X61
0X0CFF06 0XA8
0X0CFF07 0X5A
0X0CFF08 0XB6
0X0CFF09 0XC2
0X0CFF0A 0X71
0X0CFF0B 0X0C
0X0CFF0C 0XDF
0X0CFF0D 0XC2
0X0CFF0E 0XE3
0X0CFF0F 0XD8
0X0CFF10 0X82
0X0CFF11 0XC6
0X0CFF12 0XD5
0X0CFF13 0XC9
0X0CFF14 0XCE
0X0CFF15 0XEC
0X0CFF16 0XA9
0X0CFF17 0X3E
0X0CFF18 0XB6
0X0CFF19 0X42
0X0CFF1A 0XA2
0X0CFF1B 0X28
0X0CFF1C 0X6C
0X0CFF1D 0X5E
0X0CFF1E 0XBB
0X0CFF1F 0X2F
0X0CFF20 0X5D
0X0CFF21 0X74
0X0CFF22 0XFD
0X0CFF23 0XED
0X0CFF24 0X05
0X0CFF25 0X8B
0X0CFF26 0X81
0X0CFF27 0X1D
0X0CFF28 0XE7
0X0CFF29 0X7A
0X0CFF2A 0X23
0X0CFF2B 0X81
0X0CFF2C 0XC2
0X0CFF2D 0X5E
0X0CFF2E 0X02
0X0CFF2F 0X67
0X0CFF30 0XE5
0X0CFF31 0XE1
0X0CFF32 0X44
0X0CFF33 0XA5
0X0CFF34 0X18
0X0CFF35 0XC7
0X0CFF36 0X59
0X0CFF37 0X87
0X0CFF38 0X2E
0X0CFF39 0XD2
0X0CFF3A 0XDA
0X0CFF3B 0X2D
0X0CFF3C 0X39
0X0CFF3D 0XB0
0X0CFF3E 0X7F
0X0CFF3F 0XD6
0X0CFF40 0X7D
0X0CFF41 0X79
0X0CFF42 0X9E
0X0CFF43 0X61
0X0CFF44 0XF4
0X0CFF45 0XE9
0X0CFF46 0X61
0X0CFF47 0X81
0X0CFF48 0X94
0X0CFF49 0X61
0X0CFF4A 0XF0
0X0CFF4B 0X2A
0X0CFF4C 0X3D
0X0CFF4D 0XEA
0X0CFF4E 0X94
0X0CFF4F 0X9D
0X0CFF50 0X07
0X0CFF51 0X99
0X0CFF52 0X2B
0X0CFF53 0XAB
0X0CFF54 0XBC
0X0CFF55 0XC0
0X0CFF56 0X30
0X0CFF57 0X34
0X0CFF58 0XA4
0X0CFF59 0X92
0X0CFF5A 0X87
0X0CFF5B 0X3D
0X0CFF5C 0X8C
0X0CFF5D 0XC7
0X0CFF5E 0XF7
