0X04FF00 0XC1
0X04FF01 0X6C
0X04FF02 0X06
0X04FF03 0XE8
0X04FF04 0X9E
0X04FF05 0XBE
0X04FF06 0X22
0X04FF07 0XE0
0X04FF08 0X0A
0X04FF09 0X79
0X04FF0A 0XE5
0X04FF0B 0XFE
0X04FF0C 0X98
0X04FF0D 0X00
0X04FF0E 0XA1
0X04FF0F 0X27
0X04FF10 0XF5
0X04FF11 0X6C
0X04FF12 0XFA
0X04FF13 0XCB
0X04FF14 0XCC
0X04FF15 0X3C
0X04FF16 0XBE
0X04FF17 0XEE
0X04FF18 0X1A
0X04FF19 0XD1
0X04FF1A 0X78
0X04FF1B 0XA4
0X04FF1C 0X61
0X04FF1D 0XA0
0X04FF1E 0XF6
0X04FF1F 0XCF
0X04FF20 0XE3
0X04FF21 0XFB
0X04FF22 0X12
0X04FF23 0XF5
0X04FF24 0XE3
0X04FF25 0X8B
0X04FF26 0X47
0X04FF27 0X42
0X04FF28 0X53
0X04FF29 0X8A
0X04FF2A 0X49
0X04FF2B 0X0D
0X04FF2C 0X26
0X04FF2D 0X98
0X04FF2E 0X39
0X04FF2F 0X0B
0X04FF30 0X4A
0X04FF31 0X97
0X04FF32 0XBA
0X04FF33 0XE1
0X04FF34 0X29
0X04FF35 0XD9
0X04FF36 0XC2
0X04FF37 0X08
0X04FF38 0X4A
0X04FF39 0X29
0X04FF3A 0X4B
0X04FF3B 0X5E
0X04FF3C 0XEE
0X04FF3D 0XA4
0X04FF3E 0X58
0X04FF3F 0X98
0X04FF40 0XB8
0X04FF41 0XC3
0X04FF42 0X01
0X04FF43 0X1C
0X04FF44 0X29
0X04FF45 0X61
0X04FF46 0XA0
0X04FF47 0X0F
0X04FF48 0X05
0X04FF49 0XA4
0X04FF4A 0XB8
0X04FF4B 0XBB
0X04FF4C 0X77
0X04FF4D 0X6A
0X04FF4E 0X8A
0X04FF4F 0X34
0X04FF50 0X62
0X04FF51 0X0E
0X04FF52 0XBC
0X04FF53 0XE8
0X04FF54 0X1B
0X04FF55 0X0C
0X04FF56 0XC6
0X04FF57 0X29
0X04FF58 0XAB
0X04FF59 0X45
0X04FF5A 0X04
0X04FF5B 0X34
0X04FF5C 0X36
0X04FF5D 0X29
0X04FF5E 0XAF
0X04FF5F 0XB7
0X04FF60 0X11
0X04FF61 0XB0
0X04FF62 0X82
0X04FF63 0X07
0X04FF64 0XF5
0X04FF65 0X8E
0X04FF66 0X5F
0X04FF67 0X1D
0X04FF68 0X0E
0X04FF69 0XAB
0X04FF6A 0X80
0X04FF6B 0X6B
0X04FF6C 0X6B
0X04FF6D 0XE8
0X04FF6E 0X76
0X04FF6F 0XCE
0X04FF70 0X12
0X04FF71 0X29
0X04FF72 0XF3
0X04FF73 0X43
0X04FF74 0XD1
0X04FF75 0XDF
0X04FF76 0X5C
0X04FF77 0XF4
0X04FF78 0X0E
0X04FF79 0X02
0X04FF7A 0X64
0X04FF7B 0XD3
0X04FF7C 0XF5
0X04FF7D 0XFC
0X04FF7E 0X5D
0X04FF7F 0X16
0X04FF80 0X05
0X04FF81 0XA8
0X04FF82 0XE0
0X04FF83 0XEF
0X04FF84 0X08
0X04FF85 0X8B
0X04FF86 0XAB
0X04FF87 0X9E
0X04FF88 0X82
0X04FF89 0X72
0X04FF8A 0X5A
0X04FF8B 0X95
0X04FF8C 0X48
0X04FF8D 0X68
0X04FF8E 0X34
0X04FF8F 0X46
0X04FF90 0XED
0X04FF91 0X34
0X04FF92 0X2C
0X04FF93 0X91
0X04FF94 0X5F
0X04FF95 0XA8
0X04FF96 0XA8
0X04FF97 0XE9
0X04FF98 0X12
0X04FF99 0X2E
0X04FF9A 0XAE
0X04FF9B 0XC2
0X04FF9C 0X3E
0X04FF9D 0X50
0X04FF9E 0X4A
0X04FF9F 0X87
0X04FFA0 0X29
0X04FFA1 0X04
0X04FFA2 0X61
0X04FFA3 0X80
0X04FFA4 0X3F
0X04FFA5 0X70
0X04FFA6 0XB3
0X04FFA7 0X29
0X04FFA8 0XE6
0X04FFA9 0X69
0X04FFAA 0X54
0X04FFAB 0X39
0X04FFAC 0X35
0X04FFAD 0X40
0X04FFAE 0X7B
0X04FFAF 0XC6
0X04FFB0 0X52
0X04FFB1 0XAD
0X04FFB2 0XD0
0X04FFB3 0X9D
0X04FFB4 0X4F
0X04FFB5 0X52
0X04FFB6 0X60
0X04FFB7 0X9F
0X04FFB8 0XAB
0X04FFB9 0XBA
0X04FFBA 0X0C
0X04FFBB 0XFD
0X04FFBC 0X7D
0X04FFBD 0X45
0X04FFBE 0X97
0X04FFBF 0X23
0X04FFC0 0X14
0X04FFC1 0XEB
0X04FFC2 0X0A
0X04FFC3 0X49
0X04FFC4 0X95
0X04FFC5 0X4A
0X04FFC6 0XA6
0X04FFC7 0X2F
0X04FFC8 0XC9
0X04FFC9 0X5A
0X04FFCA 0XE3
0X04FFCB 0X71
0X04FFCC 0X4C
0X04FFCD 0XFB
0X04FFCE 0XBC
0X04FFCF 0X91
0X04FFD0 0X1F
0X04FFD1 0X4E
0X04FFD2 0XF0
0X04FFD3 0X8F
0X04FFD4 0X29
0X04FFD5 0X3C
0X04FFD6 0X29
