0X0CFF00 0XC2
0X0CFF01 0XC5
0X0CFF02 0X16
0X0CFF03 0XD5
0X0CFF04 0X96
0X0CFF05 0X09
0X0CFF06 0X86
0X0CFF07 0X19
0X0CFF08 0X9C
0X0CFF09 0X63
0X0CFF0A 0X02
0X0CFF0B 0X3A
0X0CFF0C 0X4F
0X0CFF0D 0XE9
0X0CFF0E 0X35
0X0CFF0F 0X57
0X0CFF10 0X76
0X0CFF11 0X71
0X0CFF12 0XAF
0X0CFF13 0XFE
0X0CFF14 0X21
0X0CFF15 0X38
0X0CFF16 0X37
0X0CFF17 0X55
0X0CFF18 0X5D
0X0CFF19 0X49
0X0CFF1A 0X07
0X0CFF1B 0X7D
0X0CFF1C 0X6E
0X0CFF1D 0X0F
0X0CFF1E 0XCC
0X0CFF1F 0X75
0X0CFF20 0XA4
0X0CFF21 0X90
0X0CFF22 0X21
0X0CFF23 0XB5
0X0CFF24 0X53
0X0CFF25 0XB0
0X0CFF26 0X2B
0X0CFF27 0X82
0X0CFF28 0X80
0X0CFF29 0XB5
0X0CFF2A 0XC1
0X0CFF2B 0XB8
0X0CFF2C 0X58
0X0CFF2D 0XDC
0X0CFF2E 0X21
0X0CFF2F 0XD8
0X0CFF30 0XBB
0X0CFF31 0X62
0X0CFF32 0X00
0X0CFF33 0X4F
0X0CFF34 0X0F
0X0CFF35 0X90
0X0CFF36 0XDC
0X0CFF37 0X76
0X0CFF38 0X14
0X0CFF39 0X13
0X0CFF3A 0XD3
0X0CFF3B 0X9E
0X0CFF3C 0X0E
0X0CFF3D 0X6B
0X0CFF3E 0XD8
0X0CFF3F 0XBB
0X0CFF40 0X21
0X0CFF41 0X3E
0X0CFF42 0X21
0X0CFF43 0X28
0X0CFF44 0X14
0X0CFF45 0X3C
0X0CFF46 0XD3
0X0CFF47 0XB1
0X0CFF48 0X11
0X0CFF49 0X21
0X0CFF4A 0XB8
0X0CFF4B 0X28
0X0CFF4C 0X56
0X0CFF4D 0X0C
0X0CFF4E 0X3A
0X0CFF4F 0X88
0X0CFF50 0XC7
0X0CFF51 0X27
0X0CFF52 0XA0
0X0CFF53 0X13
0X0CFF54 0XEF
0X0CFF55 0XEE
0X0CFF56 0XB9
0X0CFF57 0X43
0X0CFF58 0XC0
0X0CFF59 0X61
