IV,Cypher
0X03FF00,0XCA
0X03FF01,0X3D
0X03FF02,0XF3
0X03FF03,0X86
0X03FF04,0X7F
0X03FF05,0XF6
0X03FF06,0X1D
0X03FF07,0XB4
0X03FF08,0X3F
0X03FF09,0XB3
0X03FF0A,0XDB
0X03FF0B,0XC6
0X03FF0C,0XC1
0X03FF0D,0X57
0X03FF0E,0X1C
0X03FF0F,0X25
0X03FF10,0XC1
0X03FF11,0X84
0X03FF12,0XB1
0X03FF13,0XE8
0X03FF14,0XC1
0X03FF15,0XBD
0X03FF16,0X3E
0X03FF17,0X7C
0X03FF18,0X52
0X03FF19,0X94
0X03FF1A,0X85
0X03FF1B,0X68
0X03FF1C,0XA1
0X03FF1D,0XFF
0X03FF1E,0XC8
0X03FF1F,0X5C
0X03FF20,0XCC
0X03FF21,0XAF
0X03FF22,0X86
0X03FF23,0X49
0X03FF24,0X4E
0X03FF25,0XC4
0X03FF26,0X8A
0X03FF27,0X71
0X03FF28,0XC5
0X03FF29,0XB1
0X03FF2A,0XF5
0X03FF2B,0XD9
0X03FF2C,0XB4
0X03FF2D,0X5E
0X03FF2E,0X4E
0X03FF2F,0XDC
0X03FF30,0X96
0X03FF31,0X17
0X03FF32,0X45
0X03FF33,0XB7
0X03FF34,0X68
0X03FF35,0X9D
0X03FF36,0X9F
0X03FF37,0XA3
0X03FF38,0XA0
0X03FF39,0X8B
0X03FF3A,0X0A
0X03FF3B,0XB4
0X03FF3C,0X27
0X03FF3D,0X71
0X03FF3E,0XDB
0X03FF3F,0X6F
0X03FF40,0XD4
0X03FF41,0XC5
0X03FF42,0X46
0X03FF43,0XE9
0X03FF44,0XE9
0X03FF45,0X0E
0X03FF46,0X05
0X03FF47,0X2F
0X03FF48,0X02
0X03FF49,0X51
0X03FF4A,0XCE
0X03FF4B,0XE1
0X03FF4C,0X42
0X03FF4D,0XE1
0X03FF4E,0XE7
0X03FF4F,0XAD
0X03FF50,0XAD
0X03FF51,0X59
0X03FF52,0X78
0X03FF53,0X3C
0X03FF54,0XFE
0X03FF55,0X97
0X03FF56,0XFC
0X03FF57,0X63
0X03FF58,0X34
0X03FF59,0XF3
0X03FF5A,0XC5
0X03FF5B,0X1C
0X03FF5C,0XA6
0X03FF5D,0XD4
0X03FF5E,0XEB
0X03FF5F,0X52
0X03FF60,0X05
0X03FF61,0X21
0X03FF62,0XCC
0X03FF63,0X9A
0X03FF64,0XF3
0X03FF65,0XC1
0X03FF66,0X21
0X03FF67,0X24
0X03FF68,0X14
0X03FF69,0XA2
0X03FF6A,0X5B
0X03FF6B,0XC3
0X03FF6C,0X9F
0X03FF6D,0X50
0X03FF6E,0X31
0X03FF6F,0X4B
0X03FF70,0XBD
0X03FF71,0X68
0X03FF72,0XC1
0X03FF73,0XD1
0X03FF74,0X35
0X03FF75,0X8C
0X03FF76,0X07
0X03FF77,0X03
0X03FF78,0X63
0X03FF79,0XBC
0X03FF7A,0XF8
0X03FF7B,0XD1
0X03FF7C,0X72
0X03FF7D,0XCF
0X03FF7E,0X6F
0X03FF7F,0XFA
0X03FF80,0XC1
0X03FF81,0XB4
0X03FF82,0XD8
0X03FF83,0XE7
0X03FF84,0X18
0X03FF85,0X3C
0X03FF86,0X52
0X03FF87,0XB1
0X03FF88,0X13
0X03FF89,0X06
0X03FF8A,0XA6
0X03FF8B,0X23
0X03FF8C,0X37
0X03FF8D,0XE9
0X03FF8E,0XC1
0X03FF8F,0XC1
0X03FF90,0XC1
0X03FF91,0X0A
0X03FF92,0X2C
0X03FF93,0X1F
0X03FF94,0X4E
0X03FF95,0X9B
0X03FF96,0X45
0X03FF97,0X6B
0X03FF98,0XA7
0X03FF99,0X6B
0X03FF9A,0X4E
0X03FF9B,0X12
0X03FF9C,0XC6
0X03FF9D,0XEC
0X03FF9E,0X8C
0X03FF9F,0X6B
0X03FFA0,0XC1
0X03FFA1,0X67
0X03FFA2,0X1A
0X03FFA3,0XC4
0X03FFA4,0X2C
0X03FFA5,0X04
0X03FFA6,0XC1
0X03FFA7,0X3A
0X03FFA8,0X68
0X03FFA9,0X44
0X03FFAA,0XC1
0X03FFAB,0XC1
0X03FFAC,0XD6
0X03FFAD,0X88
0X03FFAE,0X34
0X03FFAF,0X70
0X03FFB0,0X97
0X03FFB1,0X4B
0X03FFB2,0X93
0X03FFB3,0XE6
0X03FFB4,0X10
0X03FFB5,0X77
0X03FFB6,0X2C
0X03FFB7,0X28
0X03FFB8,0X1E
0X03FFB9,0XB6
0X03FFBA,0XC1
0X03FFBB,0XA8
0X03FFBC,0X2C
0X03FFBD,0X33
0X03FFBE,0XB2
0X03FFBF,0X04
0X03FFC0,0XC5
0X03FFC1,0X1D
0X03FFC2,0XD7
0X03FFC3,0XCF
0X03FFC4,0X47
0X03FFC5,0X6E
0X03FFC6,0XC7
0X03FFC7,0X25
0X03FFC8,0X4E
0X03FFC9,0XC1
0X03FFCA,0XD4
0X03FFCB,0XA3
0X03FFCC,0X55
0X03FFCD,0X5C
0X03FFCE,0X1F
0X03FFCF,0XE5
0X03FFD0,0X69
0X03FFD1,0X16
0X03FFD2,0X7E
0X03FFD3,0XDF
0X03FFD4,0XA8
0X03FFD5,0X48
0X03FFD6,0X9D
0X03FFD7,0X38
0X03FFD8,0X61
0X03FFD9,0X49
0X03FFDA,0XF9
0X03FFDB,0XE7
0X03FFDC,0X75
0X03FFDD,0X88
0X03FFDE,0X1E
0X03FFDF,0XC1
0X03FFE0,0XDB
0X03FFE1,0X64
0X03FFE2,0X0F
0X03FFE3,0XC1
0X03FFE4,0X8E
0X03FFE5,0X2F
0X03FFE6,0X25
0X03FFE7,0XD2
0X03FFE8,0XF1
0X03FFE9,0X37
0X03FFEA,0X90
0X03FFEB,0X8D
0X03FFEC,0X08
0X03FFED,0XBB
0X03FFEE,0XC1
0X03FFEF,0X54
0X03FFF0,0X28
0X03FFF1,0XFF
0X03FFF2,0X31
0X03FFF3,0X81
0X03FFF4,0XA8
0X03FFF5,0X5D
0X03FFF6,0X12
0X03FFF7,0XBB
0X03FFF8,0XF1
0X03FFF9,0X3D
0X03FFFA,0XD5
0X03FFFB,0XE7
0X03FFFC,0XA0
0X03FFFD,0XCA
0X03FFFE,0X15
0X03FFFF,0X26
0X04FF00,0X00
0X04FF01,0X96
0X04FF02,0XC4
0X04FF03,0XC1
0X04FF04,0XC6
0X04FF05,0XE0
0X04FF06,0XFC
0X04FF07,0XCC
0X04FF08,0XEF
0X04FF09,0X30
0X04FF0A,0X07
0X04FF0B,0X98
0X04FF0C,0X21
0X04FF0D,0X25
0X04FF0E,0X9F
0X04FF0F,0X1C
0X04FF10,0XA8
0X04FF11,0XF6
0X04FF12,0XC6
0X04FF13,0X13
0X04FF14,0X59
0X04FF15,0XD5
0X04FF16,0X67
0X04FF17,0XB9
0X04FF18,0XF5
0X04FF19,0X77
0X04FF1A,0XBD
0X04FF1B,0XCA
0X04FF1C,0XB8
0X04FF1D,0X54
0X04FF1E,0XB7
0X04FF1F,0XD7
0X04FF20,0XE0
0X04FF21,0XD1
0X04FF22,0X3E
0X04FF23,0X44
0X04FF24,0X58
0X04FF25,0XC4
0X04FF26,0XD1
0X04FF27,0XD4
0X04FF28,0X34
0X04FF29,0XB6
0X04FF2A,0X0A
0X04FF2B,0X0B
0X04FF2C,0X96
0X04FF2D,0X64
0X04FF2E,0XC6
0X04FF2F,0X7B
0X04FF30,0X80
0X04FF31,0XF2
0X04FF32,0X0A
0X04FF33,0X2C
0X04FF34,0XA2
0X04FF35,0XF5
0X04FF36,0X9B
0X04FF37,0X71
