0,1
0X03FF00,0XF8
0X03FF01,0X28
0X03FF02,0X5F
0X03FF03,0X4C
0X03FF04,0XE8
0X03FF05,0X34
0X03FF06,0XF9
0X03FF07,0X58
0X03FF08,0X9B
0X03FF09,0XB4
0X03FF0A,0X37
0X03FF0B,0X27
0X03FF0C,0XB4
0X03FF0D,0XA8
0X03FF0E,0X7A
0X03FF0F,0XCC
0X03FF10,0X1E
0X03FF11,0X0A
0X03FF12,0X69
0X03FF13,0X4F
0X03FF14,0X89
0X03FF15,0XA0
0X03FF16,0X20
0X03FF17,0X62
0X03FF18,0XB1
0X03FF19,0XA4
0X03FF1A,0X38
0X03FF1B,0X42
0X03FF1C,0XD3
0X03FF1D,0X3A
0X03FF1E,0X86
0X03FF1F,0X01
0X03FF20,0X60
0X03FF21,0XC0
0X03FF22,0X6B
0X03FF23,0X9E
0X03FF24,0XE6
0X03FF25,0X5F
0X03FF26,0X7C
0X03FF27,0X99
0X03FF28,0X44
0X03FF29,0X67
0X03FF2A,0X50
0X03FF2B,0X49
0X03FF2C,0X51
0X03FF2D,0X6C
0X03FF2E,0XAB
0X03FF2F,0XB9
0X03FF30,0X69
0X03FF31,0X32
0X03FF32,0X5E
0X03FF33,0XFC
0X03FF34,0X74
0X03FF35,0X6D
0X03FF36,0X3A
0X03FF37,0X76
0X03FF38,0X75
0X03FF39,0X85
0X03FF3A,0X87
0X03FF3B,0X8D
0X03FF3C,0XF9
0X03FF3D,0X3D
0X03FF3E,0XDF
0X03FF3F,0XE7
0X03FF40,0XC9
0X03FF41,0XC4
0X03FF42,0XC2
0X03FF43,0XA3
0X03FF44,0X3A
0X03FF45,0X9A
0X03FF46,0XDA
0X03FF47,0XFA
0X03FF48,0X1E
0X03FF49,0X7E
0X03FF4A,0X51
0X03FF4B,0X1E
0X03FF4C,0X1A
0X03FF4D,0X59
0X03FF4E,0XFA
0X03FF4F,0X96
0X03FF50,0X3A
0X03FF51,0X37
0X03FF52,0XF6
0X03FF53,0XA3
0X03FF54,0X5A
0X03FF55,0X44
0X03FF56,0X51
0X03FF57,0X3A
0X03FF58,0X1B
0X03FF59,0X7B
0X03FF5A,0X50
0X03FF5B,0XE6
0X03FF5C,0XA2
0X03FF5D,0X84
0X03FF5E,0X62
0X03FF5F,0XB3
0X03FF60,0X6D
0X03FF61,0XB8
0X03FF62,0X60
0X03FF63,0X0A
0X03FF64,0X8B
0X03FF65,0X15
0X03FF66,0X45
0X03FF67,0XA8
0X03FF68,0X09
0X03FF69,0XBB
0X03FF6A,0X62
0X03FF6B,0X17
0X03FF6C,0X9C
0X03FF6D,0X66
0X03FF6E,0X21
0X03FF6F,0X1F
0X03FF70,0X51
0X03FF71,0X6A
0X03FF72,0X4A
0X03FF73,0X3A
0X03FF74,0X3A
0X03FF75,0XFC
0X03FF76,0X8D
0X03FF77,0XE4
0X03FF78,0X89
0X03FF79,0X10
0X03FF7A,0X31
0X03FF7B,0XD1
0X03FF7C,0XEF
0X03FF7D,0X55
0X03FF7E,0X59
0X03FF7F,0X6F
0X03FF80,0X60
0X03FF81,0XE0
0X03FF82,0XBE
0X03FF83,0XC3
0X03FF84,0X96
0X03FF85,0X3A
0X03FF86,0X7E
0X03FF87,0X06
0X03FF88,0XD3
0X03FF89,0X34
0X03FF8A,0X6C
0X03FF8B,0X94
0X03FF8C,0X86
0X03FF8D,0X48
0X03FF8E,0XDA
0X03FF8F,0X31
0X03FF90,0X3C
0X03FF91,0XFA
0X03FF92,0X0F
0X03FF93,0X5C
0X03FF94,0X21
0X03FF95,0XC7
0X03FF96,0X76
0X03FF97,0XC7
0X03FF98,0X1F
0X03FF99,0X25
0X03FF9A,0X6E
0X03FF9B,0X73
0X03FF9C,0X3E
0X03FF9D,0X21
0X03FF9E,0X5B
0X03FF9F,0X3B
0X03FFA0,0X97
0X03FFA1,0XDC
0X03FFA2,0XDF
0X03FFA3,0X72
0X03FFA4,0XA5
0X03FFA5,0XF6
0X03FFA6,0XE7
0X03FFA7,0XBF
0X03FFA8,0X15
0X03FFA9,0X85
0X03FFAA,0X10
0X03FFAB,0X10
0X03FFAC,0X26
0X03FFAD,0X08
0X03FFAE,0X2C
0X03FFAF,0XC6
0X03FFB0,0XD5
0X03FFB1,0XB4
0X03FFB2,0X0F
0X03FFB3,0XC4
0X03FFB4,0X7B
0X03FFB5,0X91
0X03FFB6,0X01
0X03FFB7,0XB1
0X03FFB8,0X3D
0X03FFB9,0X6F
0X03FFBA,0X06
0X03FFBB,0XB9
0X03FFBC,0X8E
0X03FFBD,0X39
0X03FFBE,0X41
0X03FFBF,0XA7
0X03FFC0,0XD4
0X03FFC1,0X57
0X03FFC2,0XCE
0X03FFC3,0X06
0X03FFC4,0XAA
0X03FFC5,0XA4
0X03FFC6,0XDF
0X03FFC7,0X3A
0X03FFC8,0X6A
0X03FFC9,0X2E
0X03FFCA,0X14
0X03FFCB,0X51
0X03FFCC,0X7B
0X03FFCD,0XF4
0X03FFCE,0X44
0X03FFCF,0X66
0X03FFD0,0XBE
0X03FFD1,0X13
0X03FFD2,0XE3
0X03FFD3,0X4B
0X03FFD4,0X00
0X03FFD5,0X3A
0X03FFD6,0X63
0X03FFD7,0X17
0X03FFD8,0X65
0X03FFD9,0XFD
0X03FFDA,0XB7
0X03FFDB,0X9B
0X03FFDC,0X42
0X03FFDD,0X9B
0X03FFDE,0X1E
0X03FFDF,0X71
0X03FFE0,0X60
0X03FFE1,0XE6
0X03FFE2,0X48
0X03FFE3,0X75
0X03FFE4,0X6B
0X03FFE5,0X51
0X03FFE6,0XC4
0X03FFE7,0XA0
0X03FFE8,0X06
0X03FFE9,0XE8
0X03FFEA,0X57
0X03FFEB,0X7B
0X03FFEC,0X21
0X03FFED,0X0E
0X03FFEE,0XAB
0X03FFEF,0X00
0X03FFF0,0X0D
0X03FFF1,0X1B
