0,1
0X0AFF00,0XCB
0X0AFF01,0X43
0X0AFF02,0XA3
0X0AFF03,0X6A
0X0AFF04,0X16
0X0AFF05,0X3A
0X0AFF06,0X17
0X0AFF07,0XF1
0X0AFF08,0X2C
0X0AFF09,0X2A
0X0AFF0A,0X5F
0X0AFF0B,0XD1
0X0AFF0C,0XC2
0X0AFF0D,0X2F
0X0AFF0E,0X9B
0X0AFF0F,0XFB
0X0AFF10,0XD4
0X0AFF11,0XF5
0X0AFF12,0X3C
0X0AFF13,0X27
0X0AFF14,0X50
0X0AFF15,0XC3
0X0AFF16,0X42
0X0AFF17,0XA5
0X0AFF18,0XD4
0X0AFF19,0X2D
0X0AFF1A,0XB6
0X0AFF1B,0XCA
0X0AFF1C,0XD0
0X0AFF1D,0XF9
0X0AFF1E,0X39
0X0AFF1F,0X69
0X0AFF20,0X75
0X0AFF21,0XB2
0X0AFF22,0XA7
0X0AFF23,0X8C
0X0AFF24,0X30
0X0AFF25,0X14
0X0AFF26,0X2F
0X0AFF27,0X35
0X0AFF28,0X2D
0X0AFF29,0X0F
0X0AFF2A,0XC0
0X0AFF2B,0XD9
0X0AFF2C,0X6B
0X0AFF2D,0XA6
0X0AFF2E,0XD4
0X0AFF2F,0X29
0X0AFF30,0X26
0X0AFF31,0XF2
0X0AFF32,0XB5
0X0AFF33,0XF0
0X0AFF34,0XF2
0X0AFF35,0XE6
0X0AFF36,0X79
0X0AFF37,0X05
0X0AFF38,0X3C
0X0AFF39,0X06
0X0AFF3A,0XE0
0X0AFF3B,0X27
0X0AFF3C,0X9C
0X0AFF3D,0XEC
0X0AFF3E,0X54
0X0AFF3F,0X12
0X0AFF40,0X61
0X0AFF41,0X34
0X0AFF42,0X60
0X0AFF43,0XED
0X0AFF44,0X66
0X0AFF45,0X27
0X0AFF46,0X66
0X0AFF47,0X1A
0X0AFF48,0X8D
0X0AFF49,0X34
0X0AFF4A,0X9F
0X0AFF4B,0X2A
0X0AFF4C,0X18
0X0AFF4D,0X98
0X0AFF4E,0X42
0X0AFF4F,0XA5
0X0AFF50,0X6F
0X0AFF51,0XC4
0X0AFF52,0XFB
0X0AFF53,0X78
0X0AFF54,0XDB
0X0AFF55,0XD0
0X0AFF56,0X19
0X0AFF57,0XEA
0X0AFF58,0X27
0X0AFF59,0XEC
0X0AFF5A,0XB3
0X0AFF5B,0X19
0X0AFF5C,0XCB
0X0AFF5D,0X07
0X0AFF5E,0XE5
0X0AFF5F,0XBB
0X0AFF60,0X54
0X0AFF61,0XDA
0X0AFF62,0XF6
0X0AFF63,0X27
0X0AFF64,0X12
0X0AFF65,0X17
0X0AFF66,0X4A
0X0AFF67,0XB4
0X0AFF68,0XDC
0X0AFF69,0XEB
0X0AFF6A,0X27
0X0AFF6B,0X67
0X0AFF6C,0X98
0X0AFF6D,0XCA
0X0AFF6E,0XDD
