0,1
0X0BFF00,0X07
0X0BFF01,0X55
0X0BFF02,0X6C
0X0BFF03,0X22
0X0BFF04,0XF5
0X0BFF05,0X8B
0X0BFF06,0X54
0X0BFF07,0XBC
0X0BFF08,0XD6
0X0BFF09,0XF3
0X0BFF0A,0X38
0X0BFF0B,0X65
0X0BFF0C,0XBC
0X0BFF0D,0XCF
0X0BFF0E,0XCE
0X0BFF0F,0X16
0X0BFF10,0X8E
0X0BFF11,0XF2
0X0BFF12,0XF9
0X0BFF13,0X1E
0X0BFF14,0X67
0X0BFF15,0XC7
0X0BFF16,0X46
0X0BFF17,0XC1
0X0BFF18,0XA1
0X0BFF19,0XCD
0X0BFF1A,0XBC
0X0BFF1B,0XDE
0X0BFF1C,0X93
0X0BFF1D,0X51
0X0BFF1E,0XDE
0X0BFF1F,0XC7
0X0BFF20,0XAD
0X0BFF21,0XBD
0X0BFF22,0XDA
0X0BFF23,0X7C
0X0BFF24,0X98
0X0BFF25,0X8B
0X0BFF26,0XE0
0X0BFF27,0XA5
0X0BFF28,0XF3
0X0BFF29,0XAF
0X0BFF2A,0XBC
0X0BFF2B,0X43
0X0BFF2C,0X87
0X0BFF2D,0X57
0X0BFF2E,0XC6
0X0BFF2F,0X36
0X0BFF30,0XFB
0X0BFF31,0X2C
0X0BFF32,0X89
0X0BFF33,0XD7
0X0BFF34,0X52
0X0BFF35,0X53
0X0BFF36,0X05
0X0BFF37,0X6D
0X0BFF38,0X1D
0X0BFF39,0X23
0X0BFF3A,0XD1
0X0BFF3B,0XA5
0X0BFF3C,0XDA
0X0BFF3D,0X3F
0X0BFF3E,0XB5
0X0BFF3F,0X26
0X0BFF40,0X38
0X0BFF41,0XB5
0X0BFF42,0X9E
0X0BFF43,0X92
0X0BFF44,0X1F
0X0BFF45,0X25
0X0BFF46,0X53
0X0BFF47,0X1E
0X0BFF48,0X1C
0X0BFF49,0X89
0X0BFF4A,0X17
0X0BFF4B,0XD1
0X0BFF4C,0X26
0X0BFF4D,0XF0
0X0BFF4E,0XB3
0X0BFF4F,0X22
0X0BFF50,0XB5
0X0BFF51,0XA0
0X0BFF52,0XE4
0X0BFF53,0X26
0X0BFF54,0X61
0X0BFF55,0X23
0X0BFF56,0X7B
0X0BFF57,0XBC
0X0BFF58,0X69
0X0BFF59,0XD5
0X0BFF5A,0X26
0X0BFF5B,0X73
0X0BFF5C,0X4D
0X0BFF5D,0X73
0X0BFF5E,0XE7
0X0BFF5F,0XFB
0X0BFF60,0X26
0X0BFF61,0X96
0X0BFF62,0X03
0X0BFF63,0X40
0X0BFF64,0X6B
0X0BFF65,0X6B
0X0BFF66,0X92
0X0BFF67,0X33
0X0BFF68,0X8F
0X0BFF69,0XD3
0X0BFF6A,0X6B
0X0BFF6B,0XBF
0X0BFF6C,0X5A
0X0BFF6D,0X65
0X0BFF6E,0X95
0X0BFF6F,0X8E
0X0BFF70,0X6D
0X0BFF71,0X7D
0X0BFF72,0XBA
0X0BFF73,0X07
0X0BFF74,0X4C
0X0BFF75,0X41
0X0BFF76,0X4D
0X0BFF77,0X45
0X0BFF78,0XF5
0X0BFF79,0XFA
0X0BFF7A,0XA2
0X0BFF7B,0X6D
0X0BFF7C,0X28
0X0BFF7D,0X62
0X0BFF7E,0X20
0X0BFF7F,0X04
0X0BFF80,0X00
0X0BFF81,0X7E
0X0BFF82,0X7D
0X0BFF83,0X89
0X0BFF84,0XB9
0X0BFF85,0X65
0X0BFF86,0X32
0X0BFF87,0XF3
0X0BFF88,0X70
0X0BFF89,0X6D
0X0BFF8A,0X25
0X0BFF8B,0X4D
0X0BFF8C,0X15
0X0BFF8D,0XA7
0X0BFF8E,0X27
0X0BFF8F,0X27
0X0BFF90,0X52
0X0BFF91,0X0B
0X0BFF92,0X93
0X0BFF93,0X45
0X0BFF94,0XC7
0X0BFF95,0XF9
0X0BFF96,0X4E
0X0BFF97,0X51
0X0BFF98,0X42
0X0BFF99,0X42
0X0BFF9A,0X42
0X0BFF9B,0XD3
0X0BFF9C,0X8B
0X0BFF9D,0XE7
0X0BFF9E,0X96
0X0BFF9F,0X36
0X0BFFA0,0XBC
0X0BFFA1,0X00
0X0BFFA2,0X67
0X0BFFA3,0X08
0X0BFFA4,0X65
0X0BFFA5,0XBE
0X0BFFA6,0X3F
0X0BFFA7,0XB5
0X0BFFA8,0X2C
0X0BFFA9,0XEC
0X0BFFAA,0XCE
0X0BFFAB,0XB2
