0,1
0X0CFF00,0XEB
0X0CFF01,0X19
0X0CFF02,0X13
0X0CFF03,0X45
0X0CFF04,0XA7
0X0CFF05,0XB5
0X0CFF06,0X20
0X0CFF07,0XFC
0X0CFF08,0XD2
0X0CFF09,0XBD
0X0CFF0A,0XE5
0X0CFF0B,0X13
0X0CFF0C,0XD8
0X0CFF0D,0X4B
0X0CFF0E,0X86
0X0CFF0F,0X36
0X0CFF10,0X86
0X0CFF11,0X61
0X0CFF12,0X42
0X0CFF13,0XA7
0X0CFF14,0XFF
0X0CFF15,0X20
0X0CFF16,0X78
0X0CFF17,0X23
0X0CFF18,0XC7
0X0CFF19,0X01
0X0CFF1A,0X87
0X0CFF1B,0X03
0X0CFF1C,0XCC
0X0CFF1D,0X8E
0X0CFF1E,0X6E
0X0CFF1F,0X35
0X0CFF20,0XB4
0X0CFF21,0X79
0X0CFF22,0X7F
0X0CFF23,0X6D
0X0CFF24,0X30
0X0CFF25,0X28
0X0CFF26,0XE3
0X0CFF27,0X78
0X0CFF28,0X7B
0X0CFF29,0XD8
0X0CFF2A,0X06
0X0CFF2B,0XDB
0X0CFF2C,0XDF
0X0CFF2D,0X27
0X0CFF2E,0XD1
0X0CFF2F,0X10
0X0CFF30,0X40
0X0CFF31,0X4F
0X0CFF32,0X36
0X0CFF33,0XA4
0X0CFF34,0XE6
0X0CFF35,0X14
0X0CFF36,0X8F
0X0CFF37,0X2A
0X0CFF38,0X9B
0X0CFF39,0X2C
0X0CFF3A,0X34
0X0CFF3B,0XD9
0X0CFF3C,0X35
0X0CFF3D,0X02
0X0CFF3E,0X5D
0X0CFF3F,0X30
0X0CFF40,0X96
0X0CFF41,0X18
0X0CFF42,0X1D
0X0CFF43,0X03
0X0CFF44,0X1B
0X0CFF45,0X0E
0X0CFF46,0XA6
0X0CFF47,0X35
0X0CFF48,0XC8
0X0CFF49,0XF5
0X0CFF4A,0X10
0X0CFF4B,0XAD
0X0CFF4C,0X5D
0X0CFF4D,0X93
0X0CFF4E,0XA4
0X0CFF4F,0X6C
0X0CFF50,0X4D
0X0CFF51,0X49
0X0CFF52,0X9A
0X0CFF53,0XF7
0X0CFF54,0X3D
0X0CFF55,0X8C
0X0CFF56,0X0F
0X0CFF57,0X35
0X0CFF58,0X67
0X0CFF59,0X42
0X0CFF5A,0X1D
0X0CFF5B,0X02
0X0CFF5C,0X14
0X0CFF5D,0X17
0X0CFF5E,0XDA
0X0CFF5F,0X9A
0X0CFF60,0X70
0X0CFF61,0X13
0X0CFF62,0X30
0X0CFF63,0XC5
0X0CFF64,0XF7
0X0CFF65,0X42
0X0CFF66,0XF8
0X0CFF67,0XF0
0X0CFF68,0X17
0X0CFF69,0XF9
0X0CFF6A,0X75
0X0CFF6B,0XBC
0X0CFF6C,0XB6
0X0CFF6D,0X2D
0X0CFF6E,0XFC
0X0CFF6F,0X0F
0X0CFF70,0X62
0X0CFF71,0XFB
0X0CFF72,0XEF
0X0CFF73,0X65
0X0CFF74,0X4B
0X0CFF75,0XD8
0X0CFF76,0XAC
0X0CFF77,0XDA
0X0CFF78,0X9F
0X0CFF79,0XB7
0X0CFF7A,0X28
0X0CFF7B,0XCF
0X0CFF7C,0X46
0X0CFF7D,0X50
0X0CFF7E,0XA4
0X0CFF7F,0XE0
0X0CFF80,0XE2
0X0CFF81,0X01
0X0CFF82,0XB9
0X0CFF83,0XB7
0X0CFF84,0X0F
0X0CFF85,0XEE
0X0CFF86,0X1B
0X0CFF87,0X3C
0X0CFF88,0X14
0X0CFF89,0X10
0X0CFF8A,0X66
0X0CFF8B,0X02
0X0CFF8C,0XD1
0X0CFF8D,0X91
0X0CFF8E,0X3A
0X0CFF8F,0XFE
0X0CFF90,0X1E
0X0CFF91,0X5C
0X0CFF92,0X01
0X0CFF93,0X35
0X0CFF94,0X96
0X0CFF95,0XE2
0X0CFF96,0X7B
0X0CFF97,0X21
0X0CFF98,0X8E
0X0CFF99,0XE6
0X0CFF9A,0X50
0X0CFF9B,0XA9
0X0CFF9C,0XC1
0X0CFF9D,0X1E
0X0CFF9E,0X54
0X0CFF9F,0XFB
0X0CFFA0,0X41
0X0CFFA1,0XAA
0X0CFFA2,0X5A
0X0CFFA3,0XBD
0X0CFFA4,0XA0
0X0CFFA5,0X68
0X0CFFA6,0XB6
0X0CFFA7,0X61
0X0CFFA8,0X76
0X0CFFA9,0X42
0X0CFFAA,0X2B
0X0CFFAB,0XB1
0X0CFFAC,0X81
0X0CFFAD,0X45
0X0CFFAE,0X1E
0X0CFFAF,0X0B
0X0CFFB0,0X5C
0X0CFFB1,0X06
0X0CFFB2,0X4E
0X0CFFB3,0X2C
0X0CFFB4,0X6C
0X0CFFB5,0X82
0X0CFFB6,0X30
0X0CFFB7,0X33
0X0CFFB8,0X4E
0X0CFFB9,0XE1
0X0CFFBA,0X5D
0X0CFFBB,0X94
0X0CFFBC,0XDF
0X0CFFBD,0X70
0X0CFFBE,0XE4
0X0CFFBF,0XE7
0X0CFFC0,0X64
0X0CFFC1,0X51
