0,1
0X0DFF00,0XE5
0X0DFF01,0X5A
0X0DFF02,0XD8
0X0DFF03,0X71
0X0DFF04,0X32
0X0DFF05,0XB5
0X0DFF06,0X55
0X0DFF07,0X20
0X0DFF08,0X6D
0X0DFF09,0XBB
0X0DFF0A,0XBD
0X0DFF0B,0XD0
0X0DFF0C,0X91
0X0DFF0D,0XB2
0X0DFF0E,0XF0
0X0DFF0F,0X77
0X0DFF10,0XED
0X0DFF11,0XB2
0X0DFF12,0X87
0X0DFF13,0X6F
0X0DFF14,0XA7
0X0DFF15,0X27
0X0DFF16,0XBA
0X0DFF17,0X80
0X0DFF18,0XE5
0X0DFF19,0X07
0X0DFF1A,0XC3
0X0DFF1B,0XEC
0X0DFF1C,0X40
0X0DFF1D,0X0A
0X0DFF1E,0XD1
0X0DFF1F,0XCB
0X0DFF20,0X80
0X0DFF21,0X42
0X0DFF22,0X0A
0X0DFF23,0XE5
0X0DFF24,0XE4
0X0DFF25,0X20
0X0DFF26,0X29
0X0DFF27,0X0F
0X0DFF28,0X0F
0X0DFF29,0X13
0X0DFF2A,0X20
0X0DFF2B,0X00
0X0DFF2C,0X1B
0X0DFF2D,0X20
0X0DFF2E,0XF6
0X0DFF2F,0X0D
0X0DFF30,0XA6
0X0DFF31,0X2F
0X0DFF32,0X92
0X0DFF33,0XCE
0X0DFF34,0X79
0X0DFF35,0X5C
0X0DFF36,0X2A
0X0DFF37,0X3A
0X0DFF38,0X68
0X0DFF39,0X0C
0X0DFF3A,0X98
0X0DFF3B,0X3D
0X0DFF3C,0XB5
0X0DFF3D,0XD9
0X0DFF3E,0X82
0X0DFF3F,0XF1
0X0DFF40,0X09
0X0DFF41,0X45
0X0DFF42,0XDF
0X0DFF43,0X52
0X0DFF44,0X54
0X0DFF45,0X07
0X0DFF46,0X8C
0X0DFF47,0X9D
0X0DFF48,0X2C
0X0DFF49,0X81
0X0DFF4A,0X63
0X0DFF4B,0X7F
0X0DFF4C,0XBD
0X0DFF4D,0XCD
0X0DFF4E,0X20
0X0DFF4F,0XD2
0X0DFF50,0XE4
0X0DFF51,0X50
0X0DFF52,0XEC
0X0DFF53,0X70
0X0DFF54,0X46
0X0DFF55,0X20
0X0DFF56,0XD9
0X0DFF57,0X3D
0X0DFF58,0X62
0X0DFF59,0X63
0X0DFF5A,0XF5
0X0DFF5B,0X24
0X0DFF5C,0X30
0X0DFF5D,0X93
0X0DFF5E,0X97
0X0DFF5F,0X22
0X0DFF60,0X6E
0X0DFF61,0X17
0X0DFF62,0X6D
0X0DFF63,0X56
0X0DFF64,0X25
0X0DFF65,0XFB
0X0DFF66,0XC7
0X0DFF67,0X6E
0X0DFF68,0XA3
0X0DFF69,0XD1
0X0DFF6A,0X88
0X0DFF6B,0X6C
0X0DFF6C,0X8A
0X0DFF6D,0X22
0X0DFF6E,0X07
0X0DFF6F,0XFD
0X0DFF70,0X53
0X0DFF71,0X98
0X0DFF72,0X4B
0X0DFF73,0XF4
0X0DFF74,0X5F
0X0DFF75,0X67
0X0DFF76,0X7A
0X0DFF77,0X37
0X0DFF78,0X5A
0X0DFF79,0X4B
0X0DFF7A,0X04
0X0DFF7B,0X72
0X0DFF7C,0X62
0X0DFF7D,0XC1
0X0DFF7E,0XBA
0X0DFF7F,0X28
0X0DFF80,0XF6
0X0DFF81,0XBF
0X0DFF82,0X81
0X0DFF83,0X91
0X0DFF84,0X01
0X0DFF85,0XDB
0X0DFF86,0X7D
0X0DFF87,0XAB
0X0DFF88,0X20
0X0DFF89,0X2E
0X0DFF8A,0X46
0X0DFF8B,0X7C
0X0DFF8C,0XBF
0X0DFF8D,0XD9
0X0DFF8E,0XF2
0X0DFF8F,0X75
0X0DFF90,0X20
0X0DFF91,0XA5
0X0DFF92,0X17
0X0DFF93,0X26
0X0DFF94,0X67
0X0DFF95,0XA7
0X0DFF96,0XE1
0X0DFF97,0X02
0X0DFF98,0XC2
0X0DFF99,0X04
0X0DFF9A,0XA5
0X0DFF9B,0XC2
0X0DFF9C,0X6A
0X0DFF9D,0X65
0X0DFF9E,0X16
0X0DFF9F,0X83
0X0DFFA0,0X35
0X0DFFA1,0X35
