0,1
0X0EFF00,0X0F
0X0EFF01,0XD4
0X0EFF02,0X10
0X0EFF03,0X10
0X0EFF04,0X46
0X0EFF05,0XFD
0X0EFF06,0XC5
0X0EFF07,0XE4
0X0EFF08,0XA6
0X0EFF09,0X76
0X0EFF0A,0XDD
0X0EFF0B,0XC0
0X0EFF0C,0XFF
0X0EFF0D,0X57
0X0EFF0E,0XFB
0X0EFF0F,0XB1
0X0EFF10,0XA6
0X0EFF11,0XC4
0X0EFF12,0X5A
0X0EFF13,0X75
0X0EFF14,0X74
0X0EFF15,0XD7
0X0EFF16,0X81
0X0EFF17,0X11
0X0EFF18,0X07
0X0EFF19,0X07
0X0EFF1A,0X14
0X0EFF1B,0XFE
0X0EFF1C,0X59
0X0EFF1D,0X4F
0X0EFF1E,0X7C
0X0EFF1F,0X26
0X0EFF20,0X73
0X0EFF21,0XC9
0X0EFF22,0X33
0X0EFF23,0XF0
0X0EFF24,0X75
0X0EFF25,0X9F
0X0EFF26,0XA3
0X0EFF27,0X1E
0X0EFF28,0X7B
0X0EFF29,0XA3
0X0EFF2A,0X72
0X0EFF2B,0XC4
0X0EFF2C,0X40
0X0EFF2D,0X40
0X0EFF2E,0X6C
0X0EFF2F,0X36
0X0EFF30,0X6E
0X0EFF31,0XC5
0X0EFF32,0X8E
0X0EFF33,0XA5
0X0EFF34,0XB7
0X0EFF35,0X34
0X0EFF36,0X35
0X0EFF37,0X10
0X0EFF38,0X58
0X0EFF39,0XFE
0X0EFF3A,0X90
0X0EFF3B,0X08
0X0EFF3C,0X23
0X0EFF3D,0X40
0X0EFF3E,0X9F
0X0EFF3F,0X08
0X0EFF40,0X06
0X0EFF41,0X69
0X0EFF42,0X6C
0X0EFF43,0XB0
0X0EFF44,0X70
0X0EFF45,0X80
0X0EFF46,0XA6
0X0EFF47,0XEF
0X0EFF48,0XE2
0X0EFF49,0X1E
0X0EFF4A,0X39
0X0EFF4B,0X7E
0X0EFF4C,0X93
0X0EFF4D,0X11
0X0EFF4E,0X75
0X0EFF4F,0XD3
0X0EFF50,0XAE
0X0EFF51,0XBF
0X0EFF52,0XC5
0X0EFF53,0XC4
0X0EFF54,0XF0
0X0EFF55,0XB7
0X0EFF56,0X67
0X0EFF57,0XE3
0X0EFF58,0X79
0X0EFF59,0X78
0X0EFF5A,0XD1
0X0EFF5B,0XD9
0X0EFF5C,0XA4
0X0EFF5D,0X23
0X0EFF5E,0X23
0X0EFF5F,0X74
0X0EFF60,0X84
0X0EFF61,0X89
0X0EFF62,0XED
0X0EFF63,0X6B
0X0EFF64,0X23
0X0EFF65,0X5D
0X0EFF66,0X6C
0X0EFF67,0X97
0X0EFF68,0X7D
0X0EFF69,0XEB
0X0EFF6A,0X85
0X0EFF6B,0X5F
0X0EFF6C,0X9C
0X0EFF6D,0X30
0X0EFF6E,0XE1
0X0EFF6F,0XAB
0X0EFF70,0XE9
0X0EFF71,0XE3
0X0EFF72,0XD8
0X0EFF73,0XF8
0X0EFF74,0XD0
0X0EFF75,0X4E
0X0EFF76,0XFF
0X0EFF77,0X23
0X0EFF78,0X5E
0X0EFF79,0XF2
0X0EFF7A,0X75
0X0EFF7B,0X7C
0X0EFF7C,0X23
0X0EFF7D,0X6C
0X0EFF7E,0X23
0X0EFF7F,0XB1
0X0EFF80,0XCA
0X0EFF81,0X37
0X0EFF82,0X23
0X0EFF83,0XDF
0X0EFF84,0X9C
0X0EFF85,0X48
0X0EFF86,0XBD
0X0EFF87,0XCF
0X0EFF88,0X45
0X0EFF89,0XA2
0X0EFF8A,0XE2
0X0EFF8B,0XC5
0X0EFF8C,0X33
0X0EFF8D,0X0C
0X0EFF8E,0X5D
0X0EFF8F,0XFE
0X0EFF90,0XBD
0X0EFF91,0XF1
0X0EFF92,0X97
0X0EFF93,0XBE
0X0EFF94,0XFD
0X0EFF95,0X95
0X0EFF96,0X31
0X0EFF97,0X10
0X0EFF98,0X68
0X0EFF99,0XCA
0X0EFF9A,0XF2
0X0EFF9B,0XF9
0X0EFF9C,0X80
0X0EFF9D,0X48
0X0EFF9E,0X4B
0X0EFF9F,0XFE
0X0EFFA0,0XA4
0X0EFFA1,0XF3
0X0EFFA2,0XCA
0X0EFFA3,0XD0
0X0EFFA4,0X45
0X0EFFA5,0X1E
