0,1
0X0FFF00,0XE7
0X0FFF01,0X3E
0X0FFF02,0X64
0X0FFF03,0X36
0X0FFF04,0X2F
0X0FFF05,0XF0
0X0FFF06,0X4B
0X0FFF07,0X23
0X0FFF08,0XD6
0X0FFF09,0XBF
0X0FFF0A,0X72
0X0FFF0B,0XED
0X0FFF0C,0X68
0X0FFF0D,0X7D
0X0FFF0E,0X5F
0X0FFF0F,0XAC
0X0FFF10,0XA2
0X0FFF11,0X70
0X0FFF12,0XB1
0X0FFF13,0X8D
0X0FFF14,0X63
0X0FFF15,0X73
0X0FFF16,0X36
0X0FFF17,0X01
0X0FFF18,0X36
0X0FFF19,0XF7
0X0FFF1A,0XF8
0X0FFF1B,0XC6
0X0FFF1C,0XB8
0X0FFF1D,0X51
0X0FFF1E,0X3B
0X0FFF1F,0X75
0X0FFF20,0XB6
0X0FFF21,0X35
0X0FFF22,0X4B
0X0FFF23,0XDE
0X0FFF24,0XB8
0X0FFF25,0X67
0X0FFF26,0XF2
0X0FFF27,0X8D
0X0FFF28,0XA9
0X0FFF29,0X22
0X0FFF2A,0X36
0X0FFF2B,0XE1
0X0FFF2C,0X6F
0X0FFF2D,0X87
0X0FFF2E,0X71
0X0FFF2F,0X36
0X0FFF30,0XCE
0X0FFF31,0XEF
0X0FFF32,0XAA
0X0FFF33,0X7C
0X0FFF34,0X2A
0X0FFF35,0XF4
0X0FFF36,0X17
0X0FFF37,0X13
0X0FFF38,0X73
0X0FFF39,0XF9
0X0FFF3A,0X32
0X0FFF3B,0X34
0X0FFF3C,0X04
0X0FFF3D,0X67
0X0FFF3E,0X59
0X0FFF3F,0X66
0X0FFF40,0X36
0X0FFF41,0X3C
0X0FFF42,0XD7
0X0FFF43,0X6C
0X0FFF44,0X0D
0X0FFF45,0X3E
0X0FFF46,0X1E
0X0FFF47,0XDB
0X0FFF48,0X6E
0X0FFF49,0X73
0X0FFF4A,0X67
0X0FFF4B,0X2F
0X0FFF4C,0X5B
0X0FFF4D,0XCD
0X0FFF4E,0XC1
0X0FFF4F,0XA7
0X0FFF50,0X36
0X0FFF51,0X02
0X0FFF52,0X34
0X0FFF53,0X36
