0X06FF00 0X7A
0X06FF01 0X10
0X06FF02 0X3B
0X06FF03 0XA8
0X06FF04 0X67
0X06FF05 0X49
0X06FF06 0XAA
0X06FF07 0X46
0X06FF08 0X67
0X06FF09 0X48
0X06FF0A 0XA0
0X06FF0B 0XDE
0X06FF0C 0X50
0X06FF0D 0X49
0X06FF0E 0X35
0X06FF0F 0X3E
0X06FF10 0X05
0X06FF11 0X4D
0X06FF12 0X38
0X06FF13 0X27
0X06FF14 0XC6
0X06FF15 0X09
0X06FF16 0XE1
0X06FF17 0X3F
0X06FF18 0X52
0X06FF19 0X05
0X06FF1A 0X53
0X06FF1B 0X23
0X06FF1C 0X10
0X06FF1D 0X20
0X06FF1E 0XAD
0X06FF1F 0X67
0X06FF20 0X95
0X06FF21 0XFC
0X06FF22 0XF9
0X06FF23 0XDC
0X06FF24 0X94
0X06FF25 0X74
0X06FF26 0X8B
0X06FF27 0XB6
0X06FF28 0XFB
0X06FF29 0X85
0X06FF2A 0X14
0X06FF2B 0X24
0X06FF2C 0X6D
0X06FF2D 0X67
0X06FF2E 0XF5
0X06FF2F 0XFB
0X06FF30 0X0C
0X06FF31 0X01
0X06FF32 0XC1
0X06FF33 0X16
0X06FF34 0X56
0X06FF35 0XD9
0X06FF36 0X3C
0X06FF37 0XD9
0X06FF38 0X45
0X06FF39 0X0E
0X06FF3A 0XB2
0X06FF3B 0X4C
0X06FF3C 0X5D
0X06FF3D 0X45
0X06FF3E 0XC7
0X06FF3F 0XF3
0X06FF40 0X6E
0X06FF41 0X63
0X06FF42 0X30
0X06FF43 0X09
0X06FF44 0X3F
0X06FF45 0X40
0X06FF46 0X4B
0X06FF47 0X00
0X06FF48 0XAB
0X06FF49 0X22
0X06FF4A 0XD8
0X06FF4B 0XFC
0X06FF4C 0X66
0X06FF4D 0XBA
0X06FF4E 0XAB
0X06FF4F 0X56
0X06FF50 0X67
0X06FF51 0XD0
0X06FF52 0X5E
0X06FF53 0X5B
0X06FF54 0X2B
0X06FF55 0X6F
0X06FF56 0X6F
0X06FF57 0X59
0X06FF58 0XB0
0X06FF59 0X15
0X06FF5A 0XCD
0X06FF5B 0X8E
0X06FF5C 0X1A
0X06FF5D 0X19
0X06FF5E 0XBB
0X06FF5F 0X11
0X06FF60 0X44
0X06FF61 0X13
0X06FF62 0XD5
0X06FF63 0XC6
0X06FF64 0X61
0X06FF65 0XBB
0X06FF66 0XDF
0X06FF67 0X27
0X06FF68 0XE1
0X06FF69 0X08
0X06FF6A 0X72
0X06FF6B 0X09
0X06FF6C 0XEF
0X06FF6D 0XA8
0X06FF6E 0X34
0X06FF6F 0XAF
0X06FF70 0XC1
0X06FF71 0X1E
0X06FF72 0X01
0X06FF73 0XB2
0X06FF74 0X50
0X06FF75 0X7E
0X06FF76 0X2A
0X06FF77 0X1D
0X06FF78 0X4A
0X06FF79 0X4F
0X06FF7A 0XC3
0X06FF7B 0X5D
0X06FF7C 0XF3
0X06FF7D 0XF9
0X06FF7E 0XCD
0X06FF7F 0X67
0X06FF80 0XBD
0X06FF81 0XAA
0X06FF82 0X0F
0X06FF83 0XC8
0X06FF84 0X2C
0X06FF85 0XAE
0X06FF86 0X6D
0X06FF87 0X62
0X06FF88 0X3F
0X06FF89 0X85
0X06FF8A 0XA5
0X06FF8B 0X25
0X06FF8C 0XAF
0X06FF8D 0X88
0X06FF8E 0XC8
0X06FF8F 0X32
0X06FF90 0XE2
0X06FF91 0XA6
0X06FF92 0XE2
0X06FF93 0X79
0X06FF94 0X6F
0X06FF95 0X8E
0X06FF96 0XB0
0X06FF97 0X56
0X06FF98 0X40
0X06FF99 0X40
0X06FF9A 0X40
0X06FF9B 0X17
0X06FF9C 0X6D
0X06FF9D 0XB9
0X06FF9E 0XA8
0X06FF9F 0XA2
0X06FFA0 0XEE
0X06FFA1 0XDD
0X06FFA2 0X38
0X06FFA3 0X6D
0X06FFA4 0X13
0X06FFA5 0X67
0X06FFA6 0X22
0X06FFA7 0X4F
0X06FFA8 0X2E
0X06FFA9 0XB4
0X06FFAA 0XF5
0X06FFAB 0XED
0X06FFAC 0X67
0X06FFAD 0X97
0X06FFAE 0X47
0X06FFAF 0XA3
0X06FFB0 0X24
0X06FFB1 0X43
0X06FFB2 0XAC
0X06FFB3 0X58
0X06FFB4 0XE5
0X06FFB5 0X67
0X06FFB6 0X67
0X06FFB7 0X2C
0X06FFB8 0XC7
0X06FFB9 0X13
0X06FFBA 0XC3
0X06FFBB 0X3A
0X06FFBC 0XBA
