IV,Cypher
0X01FF00,0X08
0X01FF01,0XB0
0X01FF02,0X6B
0X01FF03,0X0D
0X01FF04,0X58
0X01FF05,0X97
0X01FF06,0X9F
0X01FF07,0XE9
0X01FF08,0X33
0X01FF09,0X32
0X01FF0A,0XE7
0X01FF0B,0X5D
0X01FF0C,0X37
0X01FF0D,0X36
0X01FF0E,0X20
0X01FF0F,0X66
0X01FF10,0X4C
0X01FF11,0XB9
0X01FF12,0X2D
0X01FF13,0X35
0X01FF14,0XF2
0X01FF15,0XF6
0X01FF16,0XD7
0X01FF17,0X14
0X01FF18,0X96
0X01FF19,0X45
0X01FF1A,0XB5
0X01FF1B,0XFC
0X01FF1C,0XB5
0X01FF1D,0X3C
0X01FF1E,0X69
0X01FF1F,0X20
0X01FF20,0X57
0X01FF21,0XE4
0X01FF22,0X6B
0X01FF23,0X23
0X01FF24,0X7B
0X01FF25,0X1E
0X01FF26,0X02
0X01FF27,0XF2
0X01FF28,0X54
0X01FF29,0X12
0X01FF2A,0X15
0X01FF2B,0XE4
0X01FF2C,0X74
0X01FF2D,0X09
0X01FF2E,0X40
0X01FF2F,0XBD
0X01FF30,0X1A
0X01FF31,0XE7
0X01FF32,0XE7
0X01FF33,0XA9
0X01FF34,0X08
0X01FF35,0XC4
0X01FF36,0XC4
0X01FF37,0XAE
0X01FF38,0X09
0X01FF39,0XB5
0X01FF3A,0X25
0X01FF3B,0X9C
0X01FF3C,0X5B
0X01FF3D,0X52
0X01FF3E,0X37
0X01FF3F,0XDA
0X01FF40,0X71
0X01FF41,0X41
0X01FF42,0X96
0X01FF43,0XE6
0X01FF44,0X7F
0X01FF45,0X65
0X01FF46,0XA0
0X01FF47,0X0E
0X01FF48,0X77
0X01FF49,0X17
0X01FF4A,0XFB
0X01FF4B,0X3D
0X01FF4C,0XC9
0X01FF4D,0X90
0X01FF4E,0XF1
0X01FF4F,0X73
0X01FF50,0X05
0X01FF51,0XFE
0X01FF52,0X06
0X01FF53,0XF9
0X01FF54,0X25
0X01FF55,0XAF
0X01FF56,0XAB
0X01FF57,0XDD
0X01FF58,0X24
0X01FF59,0X62
0X01FF5A,0X12
0X01FF5B,0XC0
0X01FF5C,0X85
0X01FF5D,0X8E
0X01FF5E,0X67
0X01FF5F,0X75
0X01FF60,0XB8
0X01FF61,0X81
0X01FF62,0X64
0X01FF63,0XA9
0X01FF64,0X03
0X01FF65,0X4C
0X01FF66,0X8D
0X01FF67,0X02
0X01FF68,0X48
0X01FF69,0XC9
0X01FF6A,0X55
0X01FF6B,0X5F
0X01FF6C,0X63
0X01FF6D,0X4C
0X01FF6E,0X1F
0X01FF6F,0XB3
0X01FF70,0X4E
0X01FF71,0X8C
0X01FF72,0X4D
0X01FF73,0X37
0X01FF74,0XF9
0X01FF75,0X4E
0X01FF76,0XB2
0X01FF77,0X40
0X01FF78,0X19
0X01FF79,0X01
0X01FF7A,0X8C
0X01FF7B,0X13
0X01FF7C,0X29
0X01FF7D,0X6F
0X01FF7E,0X2D
0X01FF7F,0X3A
0X01FF80,0X65
0X01FF81,0XBA
0X01FF82,0XBD
0X01FF83,0XD6
0X01FF84,0X17
0X01FF85,0X83
0X01FF86,0X58
0X01FF87,0XB0
0X01FF88,0XCC
0X01FF89,0X83
0X01FF8A,0XDA
0X01FF8B,0X00
0X01FF8C,0XB7
0X01FF8D,0X01
0X01FF8E,0X30
0X01FF8F,0X3F
0X01FF90,0XAB
0X01FF91,0X56
0X01FF92,0XAD
0X01FF93,0X3F
0X01FF94,0XAF
0X01FF95,0XEB
0X01FF96,0XAC
0X01FF97,0X87
0X01FF98,0XB2
0X01FF99,0X92
0X01FF9A,0XBF
0X01FF9B,0X16
0X01FF9C,0X17
0X01FF9D,0XF7
0X01FF9E,0X22
0X01FF9F,0X27
0X01FFA0,0X55
0X01FFA1,0XE4
0X01FFA2,0X9D
0X01FFA3,0X8E
0X01FFA4,0X0C
0X01FFA5,0XFA
0X01FFA6,0X91
0X01FFA7,0X61
0X01FFA8,0X06
0X01FFA9,0XEC
0X01FFAA,0X26
0X01FFAB,0X72
0X01FFAC,0XF1
0X01FFAD,0X96
0X01FFAE,0X3D
0X01FFAF,0X39
0X01FFB0,0X76
0X01FFB1,0XAF
0X01FFB2,0X8D
0X01FFB3,0X71
0X01FFB4,0X6A
0X01FFB5,0XB9
0X01FFB6,0X31
0X01FFB7,0X7D
0X01FFB8,0XB3
0X01FFB9,0X9A
0X01FFBA,0XD4
0X01FFBB,0XF6
0X01FFBC,0XB0
0X01FFBD,0X0A
0X01FFBE,0XB1
0X01FFBF,0XC4
0X01FFC0,0X4E
0X01FFC1,0XFA
0X01FFC2,0X94
0X01FFC3,0XC5
0X01FFC4,0X97
0X01FFC5,0X96
0X01FFC6,0X59
0X01FFC7,0X55
0X01FFC8,0X92
0X01FFC9,0X34
0X01FFCA,0X0B
0X01FFCB,0XEC
0X01FFCC,0X63
0X01FFCD,0XFD
0X01FFCE,0X00
0X01FFCF,0X77
0X01FFD0,0XFF
0X01FFD1,0X75
0X01FFD2,0X5F
0X01FFD3,0X4E
0X01FFD4,0X77
0X01FFD5,0X59
0X01FFD6,0X99
0X01FFD7,0X9D
0X01FFD8,0X6A
0X01FFD9,0X2F
0X01FFDA,0X2C
0X01FFDB,0X2E
0X01FFDC,0X12
0X01FFDD,0XE6
0X01FFDE,0XE8
0X01FFDF,0X70
0X01FFE0,0X41
0X01FFE1,0XDA
0X01FFE2,0XDD
0X01FFE3,0X43
0X01FFE4,0X17
0X01FFE5,0XA2
0X01FFE6,0X2F
0X01FFE7,0XCD
0X01FFE8,0X61
0X01FFE9,0X20
0X01FFEA,0X16
0X01FFEB,0X0B
0X01FFEC,0XDC
0X01FFED,0X1F
0X01FFEE,0X66
0X01FFEF,0X1D
0X01FFF0,0X74
0X01FFF1,0X97
0X01FFF2,0XCD
0X01FFF3,0X99
0X01FFF4,0XCF
0X01FFF5,0X47
0X01FFF6,0X75
0X01FFF7,0X69
0X01FFF8,0XF0
0X01FFF9,0XBE
0X01FFFA,0XA0
0X01FFFB,0XB3
0X01FFFC,0XF3
0X01FFFD,0X33
