0X07FF00 0X9A
0X07FF01 0X56
0X07FF02 0X6A
0X07FF03 0XE2
0X07FF04 0X1D
0X07FF05 0X4F
0X07FF06 0XFC
0X07FF07 0X6A
0X07FF08 0X9C
0X07FF09 0X94
0X07FF0A 0X87
0X07FF0B 0X43
0X07FF0C 0XCF
0X07FF0D 0X7A
0X07FF0E 0X7A
0X07FF0F 0XB3
0X07FF10 0X6E
0X07FF11 0XBB
0X07FF12 0X6A
0X07FF13 0X39
0X07FF14 0X4C
0X07FF15 0X66
0X07FF16 0X76
0X07FF17 0X0D
0X07FF18 0X4E
0X07FF19 0XFD
0X07FF1A 0X63
0X07FF1B 0XA0
0X07FF1C 0XC6
0X07FF1D 0X33
0X07FF1E 0X69
0X07FF1F 0XFC
0X07FF20 0XAE
0X07FF21 0X5A
0X07FF22 0X6C
0X07FF23 0X71
0X07FF24 0X4C
0X07FF25 0X3E
0X07FF26 0XE5
0X07FF27 0XB7
0X07FF28 0X82
0X07FF29 0X3E
0X07FF2A 0X3E
0X07FF2B 0XBF
0X07FF2C 0X73
0X07FF2D 0XCB
0X07FF2E 0X1C
0X07FF2F 0XB2
0X07FF30 0X4D
0X07FF31 0X1D
0X07FF32 0XE2
0X07FF33 0X44
0X07FF34 0X6A
0X07FF35 0X20
0X07FF36 0X85
0X07FF37 0X76
0X07FF38 0XD4
0X07FF39 0X2C
0X07FF3A 0XA4
0X07FF3B 0X5A
0X07FF3C 0XF3
0X07FF3D 0XF9
0X07FF3E 0X1E
0X07FF3F 0XC1
0X07FF40 0X15
0X07FF41 0XDF
0X07FF42 0X1A
0X07FF43 0XC6
0X07FF44 0X2F
0X07FF45 0XA6
0X07FF46 0X69
0X07FF47 0X43
0X07FF48 0XC8
0X07FF49 0X56
0X07FF4A 0X1F
0X07FF4B 0X6F
0X07FF4C 0X6A
0X07FF4D 0XBB
0X07FF4E 0X06
0X07FF4F 0X37
0X07FF50 0X52
0X07FF51 0XCC
0X07FF52 0XEA
0X07FF53 0X9C
0X07FF54 0XB3
0X07FF55 0X40
0X07FF56 0X84
0X07FF57 0XE9
0X07FF58 0XCA
0X07FF59 0X6A
0X07FF5A 0X3C
0X07FF5B 0X04
0X07FF5C 0X02
0X07FF5D 0X2F
0X07FF5E 0XF3
0X07FF5F 0XFE
0X07FF60 0X42
0X07FF61 0X3C
0X07FF62 0X31
0X07FF63 0X83
0X07FF64 0X59
0X07FF65 0XF0
0X07FF66 0X1C
0X07FF67 0X43
0X07FF68 0XA1
0X07FF69 0X15
0X07FF6A 0X69
0X07FF6B 0X58
0X07FF6C 0X2D
0X07FF6D 0X2D
0X07FF6E 0X1B
0X07FF6F 0X1B
0X07FF70 0X4F
0X07FF71 0XCC
0X07FF72 0XAC
0X07FF73 0XB9
0X07FF74 0X9E
0X07FF75 0X02
0X07FF76 0XE4
0X07FF77 0XB9
0X07FF78 0XAE
0X07FF79 0XF6
0X07FF7A 0X0A
0X07FF7B 0XD6
0X07FF7C 0X70
0X07FF7D 0X32
0X07FF7E 0XED
0X07FF7F 0XE3
0X07FF80 0XEB
0X07FF81 0X59
0X07FF82 0X4A
0X07FF83 0XEB
0X07FF84 0X48
0X07FF85 0XDE
0X07FF86 0X48
0X07FF87 0X0C
0X07FF88 0XDB
0X07FF89 0XED
0X07FF8A 0XEF
0X07FF8B 0XC5
0X07FF8C 0X65
0X07FF8D 0X64
0X07FF8E 0XFF
0X07FF8F 0X34
0X07FF90 0X4F
0X07FF91 0X78
0X07FF92 0X25
0X07FF93 0X8B
0X07FF94 0XD2
0X07FF95 0XD7
0X07FF96 0XF1
0X07FF97 0XAA
0X07FF98 0X3B
0X07FF99 0X46
